Metric,Mean,Std
MAE,0.13925563792387644,0.008043667916647804
PCC,0.6277221838633219,0.03191351188567481
JSD,0.28770410021146137,0.008949100359673614
Cosine Sim,0.8612066109975179,0.011579609299115829
MAE (DC),0.18650533508826314,0.020189806651546748
MAE (PC),0.0005723610341691743,2.1593312243458057e-05
MAE (EC),0.013689902722749683,0.00043098505105794693
MAE (BC),0.022546516909026825,0.00041916871789331596
