Fold,MAE,PCC,JSD,Cosine Sim,MAE (DC),MAE (PC),MAE (EC),MAE (BC)
1,0.13057665526866913,0.6613575220108032,0.27883195877075195,0.8728601336479187,0.16356569879335264,0.0005971232132380945,0.01382994292498167,0.02226450380941453
2,0.1464599221944809,0.5978672504425049,0.2967282235622406,0.8497023582458496,0.20157489039553436,0.0005625091736600342,0.014033452048156663,0.02302819026495829
3,0.1407303363084793,0.6239417791366577,0.2875521183013916,0.8610573410987854,0.19437541607590242,0.000557450715609394,0.01320631319511072,0.022346856652707647
